Symbol	macrophage, TB infection, non stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14347.3972-173I4	macrophage, TB infection, non stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14348.3973-173A5	macrophage, TB infection, non stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14349.3974-173B5	macrophage, TB infection, non stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14350.3975-173C5	macrophage, TB infection, non stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14351.3976-173D5	macrophage, TB infection, non stimulated BMDM, without Mtb, 024hr, biol_rep4.CNhs14342.3967-173D4	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11507.3607-170C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11582.3679-171C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11508.3608-170D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11583.3680-171D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11509.3609-170E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11584.3681-171E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11510.3610-170F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11585.3682-171F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11511.3611-170G6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11586.3683-171G6	macrophage, TB infection, non-stimulated BMDM, without Mtb, 004hr, biol_rep3.CNhs11633.3705-172B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 006hr, biol_rep3.CNhs11634.3706-172C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 012hr, biol_rep3.CNhs11635.3707-172D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep1.CNhs11458.3561-170B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep2.CNhs11533.3633-171B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep3.CNhs11636.3708-172E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep1.CNhs11459.3562-170C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep2.CNhs11534.3634-171C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep3.CNhs11637.3709-172F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep1.CNhs11460.3563-170D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep2.CNhs11535.3635-171D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep3.CNhs14298.3710-172G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep1.CNhs11461.3564-170E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep2.CNhs11536.3636-171E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep3.CNhs14299.3711-172H1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep1.CNhs11462.3565-170F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep2.CNhs11537.3637-171F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep3.CNhs14300.3712-172I1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep1.CNhs11463.3566-170G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep2.CNhs11538.3638-171G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep3.CNhs14301.3713-172A2
Nap1l1	2.52	0.6	0.83	4.04	31.44	1.94	0.62	0	0	1.15	0.45	1.09	1.45	0	0	0	1.55	2.01	1.56	0	1.77	1.75	0	1.22	2.07	0.55	0	3.47	0	0.47	1.66	1.35	2.06	2.41	1.56	0.39	2.79
Phlda1	0.84	0	0.1	0	0	0.28	0.62	0	0	0	0.9	0	2.89	0	1.7	0	0	0	0.09	0	0	0.07	0	0	0.28	0	0	0	0	0	0.24	0	1.03	0.46	0	0.39	0.29
Phlda1	0.21	0	0	0	0	0	0.62	0	0	0	0	0	0	0	0.85	0	0	0	0	0	0	0.07	0	0	0.14	0	0	0	0	0	0	0	0	0.11	0	0.39	0
Phlda1	50.48	32.53	23.96	2.73	0	3.75	79.8	123.6	59.94	13.86	10.76	1.09	67.93	9.88	105.25	3.01	1.67	1.51	2.57	0.93	1.77	5.32	0.78	1.22	3.93	2.73	0	3.92	0	2.36	5.44	2.7	2.57	5.15	0	3.55	7.35
Krr1	12.59	13.43	16.15	22.37	188.67	20.26	18.7	13.95	20.58	38.11	17.49	35.9	24.57	49.41	24.61	36.1	23.58	23.49	25.69	13.09	12.41	21.99	17.22	18.93	18.07	25.15	17.52	15.31	21.84	19.36	15.25	13.48	23.63	15.69	26.54	19.71	16.92
Glipr1	0.94	1.04	0.1	0.22	0	0.28	0.62	0	1.82	3.46	0	1.09	0	0	0	0	0.12	0.13	0.09	0	0.89	0.21	0	0	0.14	0	0	0	0	0	0.12	0	0	0	0	0	0.15
Glipr1	0.52	0.6	0.1	0.11	0	0.83	0	0	0.61	1.15	0.45	0	0	0	0	0	0.48	0.38	0.09	0	0	0.07	0	0	0.21	0	0	0.27	0	0	0.12	0	0	0.23	0	0.39	0.15
Glipr1	0.63	1.19	1.04	0.76	0	2.5	1.87	0	1.82	0	1.35	0	2.89	0	0.85	0	0.6	1.13	1.1	0	0.89	1.47	1.57	1.22	0.97	1.09	0.6	1.6	1.56	0.94	1.66	0	0.51	1.49	0	1.18	1.03
Glipr1	0.52	0.6	0.31	0.55	0	1.94	2.49	5.98	1.21	0	0.45	0	0	0	2.55	0	0.12	0.63	0.28	0.93	1.77	0.49	0	0.61	0.48	0.55	1.21	1.16	0	0.47	1.42	0	0.51	0.69	0	1.18	0.44
Glipr1	3.57	3.58	3.23	4.15	0	9.16	6.23	13.95	9.69	6.93	1.79	3.26	5.78	9.88	6.79	6.02	1.43	1.63	2.39	0.93	0.89	2.73	2.35	2.44	3.1	1.09	2.42	5.25	0.78	3.3	5.56	0	8.73	3.55	3.12	2.76	3.53
Glipr1	2.1	1.49	1.46	1.96	0	4.03	5.61	5.98	8.48	0	1.35	2.18	4.34	0	5.94	0	1.07	2.14	1.47	0.93	2.66	1.54	0.78	1.22	1.31	0.55	1.81	2.58	0	1.42	2.01	1.35	3.08	2.98	0	0.39	1.91
Glipr1	12.49	6.27	2.81	1.64	0	13.88	11.84	17.94	3.63	3.46	4.48	5.44	7.23	0	18.67	12.03	4.29	4.9	7.71	0.93	7.09	7.28	1.57	3.05	9.86	2.73	7.25	7.83	2.34	4.72	9.93	1.35	12.33	6.53	9.37	8.28	7.06
Glipr1	3.88	1.04	0.42	0.55	7.86	2.22	1.87	0	0.61	1.15	0.45	0	1.45	0	5.09	0	0.36	0.75	0.28	0	0	1.05	0	0.61	0.62	0	0.6	0.89	0.78	1.89	1.42	0	1.54	0.8	1.56	1.18	1.18
Glipr1	6.93	2.39	1.77	0.44	7.86	6.11	4.36	5.98	1.82	3.46	2.24	1.09	2.89	0	12.73	0	2.26	2.01	2.48	0	4.43	2.73	0.78	2.44	2.69	2.19	3.62	4.18	2.34	5.67	3.78	2.7	5.65	3.78	0	3.94	6.18
Glipr1	5.98	5.37	1.98	0.44	0	7.91	4.36	3.99	2.42	3.46	2.24	2.18	4.34	0	6.79	3.01	3.1	1.88	2.48	0	1.77	3.01	0.78	3.66	2.28	1.64	1.21	2.58	0	2.83	2.48	0	5.65	2.86	3.12	4.34	3.09
Glipr1	102.53	55.81	30.21	39.06	62.89	134.91	77.3	145.52	47.22	76.22	55.16	72.88	130.09	98.82	173.15	144.4	70.26	77.51	100.37	28.04	77.14	94.34	32.88	65.35	90.54	47.01	64.64	85.64	45.23	88.28	81.59	90.32	135.63	71.58	67.14	79.24	97.67
Glipr1	17	13.73	13.96	13.09	55.03	27.34	28.68	23.92	16.95	28.87	34.53	50.04	52.04	26.35	71.3	66.18	17.15	25.12	23.21	23.37	37.24	21.64	31.31	26.87	21.45	35.53	28.39	22.79	37.43	29.27	25.07	48.53	10.79	20.62	24.98	27.99	28.83
Glipr1	0.1	0	0	0.11	0	1.25	0.62	0	0.61	1.15	1.35	0	0	0	0.85	0	3.22	4.02	2.29	0	0.89	3.08	0	1.83	2.07	1.09	1.81	1.87	0	2.36	0.71	0	2.06	1.37	1.56	1.58	1.18
Glipr1	0	0	0	0.22	0	0.42	0	0	0	0	0	1.09	0	0	0	0	0.6	0.75	0.46	0	0.89	0.56	0	0	0.21	0	0.6	0.89	0	0.47	0.47	0	0	0.11	3.12	0	0.88
Tbc1d15	19.94	9.25	7.4	16.58	235.83	14.02	29.92	53.82	38.75	10.39	17.94	15.23	10.12	13.18	5.09	33.09	18.7	16.83	17.34	12.15	16.85	15.62	10.18	12.83	15.52	14.76	20.54	15.67	14.82	15.58	14.31	25.61	17.98	14.66	23.42	12.62	20.45
chr10:114707001..114707007,+	140.31	136.84	116.78	158.85	125.78	94.66	37.41	17.94	38.75	18.48	27.36	20.67	34.69	13.18	28.86	27.07	83.59	32.41	26.52	17.76	45.22	30.47	16.44	36.65	27.58	28.43	74.31	122.59	32.75	33.99	87.86	22.92	87.34	92.66	24.98	94.22	97.52
Rab21	5.25	3.13	1.98	1.31	0	2.5	8.1	5.98	13.32	2.31	4.48	1.09	11.56	0	5.94	3.01	2.38	0.75	1.1	0	0.89	1.05	2.35	0.61	1.24	1.09	1.81	0.71	0	1.42	0.83	1.35	2.06	0.8	1.56	0.39	1.77
Rab21	71.99	67	61.26	65.57	102.19	52.6	87.28	51.83	76.28	50.81	60.1	51.13	80.94	69.17	60.26	45.12	44.77	45.1	52.85	79.46	78.92	46.93	55.58	69.02	45.24	62.32	58	45.94	46.79	54.29	51.79	70.1	57.03	57.95	60.89	55.98	59.42
Rab21	0.73	1.49	0.52	0.65	0	0.42	2.49	0	1.82	0	1.35	1.09	0	0	1.7	0	1.07	0.63	0.37	0.93	0.89	0.56	0	0	0.55	1.64	0.6	0.8	0	0.94	0.12	0	1.54	0.34	0	1.18	0.59
Tmem19	0	0	0.1	0	0	0.14	0.62	0	0.61	0	0	0	0	3.29	0	0	0.36	0	0.09	0	0	0.14	0	0	0.14	0	0.6	0.45	0	0.47	0.12	0	0.51	0.34	1.56	0.79	0.44
Tmem19	0	0	0.1	0.22	0	0.14	0	0	0	0	0.45	0	0	0	0	0	0.36	0.25	0.09	0	0	0.14	0	0	0.14	0	0	0.53	0	0.47	0.24	0	0	0.34	0	0.39	0
Tmem19	8.92	13.28	18.86	32.19	39.31	36.64	10.6	11.96	12.71	20.79	27.36	22.84	23.13	29.65	26.31	27.07	42.51	44.85	38.26	29.91	49.66	37.89	26.62	36.65	40.13	31.16	37.46	41.57	33.53	37.77	47.06	29.66	34.94	46.27	28.11	43.76	46.19
Tmem19	1.26	0.75	0.31	1.09	0	0.97	2.49	1.99	0.61	0	0	0	0	0	0	0	1.55	1.13	1.1	0.93	0	1.33	0.78	1.22	1.31	1.64	3.02	0.98	0	2.36	1.66	0	1.03	2.41	0	0.39	2.35
Tmem19	1.36	2.24	1.56	1.75	0	2.22	1.25	0	1.82	0	1.35	0	4.34	0	0.85	0	0.83	1.88	1.38	1.87	3.55	1.33	2.35	1.22	1.17	2.19	2.42	1.51	0	1.89	1.18	1.35	0.51	1.37	0	0.39	1.03
Cct2	0.1	0	0.63	0.11	0	0.42	0.62	0	0	0	0.9	0	0	0	1.7	0	0.48	0.75	0.37	0	0.89	0.49	0	0	0.62	1.09	1.21	0.45	0.78	0.47	0.24	0	0.51	0.23	0	0.39	0.59
chr10:116500391..116500422,-	6.09	2.54	1.98	5.56	39.31	4.58	13.09	5.98	8.48	8.08	11.21	2.18	5.78	16.47	10.19	6.02	7.5	8.29	12.39	7.48	23.94	10.09	8.61	21.38	10.07	8.2	19.94	8.99	10.14	11.33	8.51	12.13	6.68	4.12	15.61	7.88	5.59
Cct2	0.52	2.24	0.73	0.22	7.86	0.69	0	0	1.21	1.15	0.45	1.09	0	0	0.85	0	0.48	0.38	0.46	0.93	0	0.28	0	0.61	0.14	0.55	1.21	0.45	2.34	0	0.12	0	0.51	0.23	0	0.39	0.15
Cct2	121.21	144.9	152.73	147.73	283	117.15	82.91	119.61	90.21	129.34	63.24	103.34	96.84	88.94	103.55	96.26	77.28	68.71	65.42	81.33	56.75	58.62	86.89	50.69	61.65	77.08	62.83	68.64	70.96	56.18	70	62.01	70.9	87.16	49.96	87.91	96.2
chr10:116685037..116685048,+	30.12	30.44	24.9	41.35	78.61	67.73	29.92	165.46	13.32	137.42	38.57	223.01	30.35	200.93	48.38	300.83	40.13	35.05	41.01	84.13	63.84	31.17	107.25	64.74	30.34	97.85	57.39	30.27	111.51	54.76	32.4	130.76	58.05	20.27	138.96	41.39	23.83
chr10:116714486..116714508,-	9.24	2.84	3.33	3.6	47.17	29.01	18.7	3.99	5.45	10.39	14.8	8.7	33.24	6.59	16.98	0	6.91	8.29	5.5	3.74	26.6	5.18	6.26	8.55	5.24	12.57	12.08	7.12	5.46	7.08	11	6.74	4.11	8.25	12.49	7.49	15.44
chr10:116714538..116714586,-	14.06	11.94	8.96	9.27	70.75	53.44	18.7	17.94	10.29	3.46	20.18	18.49	36.14	13.18	38.19	6.02	14.77	12.69	7.98	14.96	54.09	8.96	18	22.6	8.69	22.41	24.17	21.81	22.61	20.3	25.66	25.61	14.9	15.58	18.74	21.68	28.39
chr10:116714942..116714986,-	18.79	17.76	17.19	22.37	23.58	75.64	49.25	45.85	15.14	27.71	44.85	31.55	24.57	52.7	32.25	57.16	33.58	34.17	32.48	44.87	93.99	27.59	28.96	42.14	22.55	49.2	32.02	29.11	28.07	39.66	31.33	51.23	48.81	20.96	87.44	23.65	48.39
chr10:116715083..116715118,-	29.7	21.19	26.57	32.73	47.17	105.35	65.46	53.82	24.22	36.95	87.01	41.34	111.3	42.82	110.34	99.27	69.66	85.29	58.35	51.41	256.26	52.39	46.97	164.91	51.24	55.76	144.99	62.85	76.42	129.83	56.05	87.62	184.95	34.93	148.33	71.35	44.27
chr10:116715155..116715176,-	10.91	11.19	11.67	12.87	31.44	49.55	33.66	23.92	12.11	9.24	38.57	19.58	27.46	13.18	29.71	24.07	14.88	17.21	16.7	26.17	71.82	13.87	25.05	26.26	13.52	42.09	29	16.65	19.5	30.69	15.37	53.92	54.97	13.74	53.09	18.53	24.12
chr10:116715229..116715252,-	11.54	16.71	13.13	19.42	39.31	57.32	24.31	15.95	18.77	19.63	29.6	18.49	21.68	19.76	35.65	15.04	22.62	20.6	20	38.33	81.58	15.62	38.36	33.59	15.31	34.44	27.19	17.63	21.84	30.69	24.59	39.09	99.15	17.98	60.89	24.84	28.83
chr10:116717723..116717760,-	17.42	24.03	18.44	34.91	62.89	96.19	30.55	43.86	12.11	30.02	42.61	35.9	31.8	26.35	40.74	30.08	33.82	33.29	38.9	54.22	86.01	22.06	55.58	44.59	25.45	56.3	35.04	25.1	52.25	52.87	26.72	72.8	91.96	26.34	35.91	37.06	34.42
chr10:116717791..116717822,-	13.43	12.83	13.02	15.49	62.89	67.18	24.94	23.92	15.14	17.32	35.43	28.28	36.14	36.23	38.19	33.09	21.43	20.22	22.39	41.13	60.3	21.5	36.01	27.48	14.48	42.09	19.94	16.65	27.29	27.38	21.52	44.49	58.57	14.77	48.4	14.98	27.36
Lyz2	37.57	140.87	122.93	189.73	212.25	223.19	71.69	123.6	79.91	92.38	123.78	143.59	56.37	177.87	71.3	186.51	68.11	72.36	89.91	127.13	311.23	68.5	142.47	286.45	66.13	132.83	332.28	239.65	142.71	334.24	259.9	474.52	284.11	177.64	370.05	218.79	211.22
Lyz2	602.61	381.28	344.21	6085.8	1297.08	978.94	473.18	1690.48	173.15	1304.91	630.12	2226.8	543.48	3109.51	582.25	2289.29	861.64	968.76	2666.49	517.88	511.63	1278.39	685.75	563.74	1067.53	735.24	477.27	401.76	727.57	609.47	498.05	737.39	438.23	386.43	558.98	278.72	432.15
Lyz2	0.21	0.45	0.31	0.44	0	0.97	0	0	0.61	0	0	0	0	0	0	0	0.95	0.63	0.28	0	0.89	0.35	3.91	1.83	0.41	1.09	0.6	0.45	2.34	0.94	1.18	0	0.51	0.57	0	0.79	0.44
Lyz2	4.3	4.63	4.69	4.58	0	4.58	4.36	3.99	1.21	3.46	4.04	5.44	5.78	9.88	4.24	0	10.96	9.3	12.66	4.67	13.3	5.53	7.83	10.38	5.17	5.47	11.48	3.83	7.02	3.78	3.67	5.39	8.73	2.98	9.37	1.97	5.15
Lyz2	1.47	2.54	3.54	2.4	0	5.55	3.74	0	0.61	2.31	4.04	10.88	1.45	3.29	1.7	6.02	10.48	8.54	10.92	10.28	15.96	4.83	9.39	12.22	3.65	6.56	7.25	4.1	8.58	7.08	3.67	13.48	5.65	2.63	10.93	5.91	3.24
Lyz2	0.1	0.45	0.21	0	0	0.83	0	0	0	0	1.79	4.35	0	3.29	1.7	0	2.14	2.01	1.1	0	0	1.19	1.57	0.61	0.69	0.55	1.81	0.36	3.9	0.94	1.06	0	0.51	0.23	0	1.18	0.15
Lyz1	36.63	46.26	43.44	68.63	125.78	78	59.22	173.43	32.69	115.48	94.63	184.93	76.61	187.76	119.67	255.7	58.23	57.41	79.82	114.98	137.44	48.89	135.43	128.26	46.82	136.66	113.58	42.29	143.49	114.25	47.65	207.6	125.87	33.44	231.09	74.51	33.1
Mdm2	3.67	1.19	1.35	0.22	7.86	0.56	6.23	7.97	1.21	0	0.45	1.09	2.89	0	0.85	0	0.6	0.5	0.37	0	0	0.35	0	0	0.34	0	0	0.27	0.78	0.47	0.24	0	0.51	0.46	0	0.79	0.59
Mdm2	3.57	0.9	0.83	1.2	7.86	0.69	3.74	3.99	3.03	3.46	2.24	1.09	1.45	3.29	1.7	0	0.36	0.88	0.37	0	0	0.49	0.78	0.61	0.41	0	0	0.27	0	0	0.24	0	1.03	0	0	0	1.03
Mdm2	0.63	0.15	0.21	0.55	0	0.14	0.62	0	1.21	1.15	1.35	0	1.45	0	0.85	0	0.12	0.13	0.09	0.93	0.89	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0.29
Mdm2	1.15	0.3	0.42	0.55	0	0	4.99	7.97	5.45	0	0	1.09	0	0	3.4	0	0.24	0.38	0.09	0	0	0.28	0	0	0.21	1.09	0	0.18	0	0	0	1.35	0	0.11	0	0.39	0
Mdm2	3.46	0.75	0.52	0.33	0	0.14	3.74	3.99	1.21	1.15	1.79	1.09	0	0	0.85	0	0	0.5	0.28	0	0	0.07	0	0	0.07	0	0	0.09	0	0	0	0	0.51	0.23	0	0.39	0.29
Mdm2	3.46	1.04	0.42	0.55	47.17	1.53	11.84	5.98	10.9	1.15	2.69	0	2.89	3.29	1.7	9.02	0.6	0.5	1.1	0.93	0.89	0.7	0.78	1.22	0.48	0.55	0.6	0.8	2.34	0	1.18	1.35	0.51	1.15	0	0.79	0.88
